,Country,Year,A,B,C10_12,C13_15,C16_18,C19,C20_21,C22_23,C24_25,C26,C27,C28,C29_30,C31_33,D,E,F,G,H,I,J58_60,J61,J62_63,K,L68,M,N,O84,P85,Q,R_S,T_U,VA_labour,VA_rest,Nuclear,Hydro,Wind,Solar,Other,Coal,Gas,Oil,Bio_Rest,Bio_Gas,Sector_Size,Gas_FC,Population,GDP_pC,Gas_FC_pC
31,DE,2011,0.000181434,0.050649466,0.000724253,0.000197751,0.002148534,0.015472393,0.003515087,0.011769034,0.016376193,0.005516715,0.030846147,0.012198083,0.003173747,0.01516354,0.177992908,0.002763565,0.025537065,0.041556442,0.038434624,0.001912025,0.001511593,0.002088226,0.005772564,0.023789656,0.017529525,0.035079753,0.028481592,0.068629797,0.00097419,0.000164188,0.003209668,1.11433759668187e-05,0.113306731,0.243322365,0.156028534,0.033504567,0.07204963,0.02832245,0.042401706,0.428799043,0.184626756,0.005191108,0.01799611,0.031080096,691995.2222,2241826,80222065,31711.1,0.027945254
32,DK,2011,0.010101992,0.207525188,0.001502861,0.000867327,0.0104097,0.0093808,0.000929578,0.002629185,0.003240806,0.000857205,0.000974747,0.005473336,0.00077003,0.006702144,0.06643171,0.021167849,0.034087548,0.01545361,0.009930551,0.007811767,0.00134053,0.001133536,0.004411666,0.065043986,0.001547904,0.038490104,0.008426677,0.003954785,0.001047878,0.000107673,0.003385677,2.45458076646182e-05,0.09231577,0.362521335,0,0.000268539,0.154394331,0.000952174,0.035885017,0.356840533,0.233241346,0.013783265,0.196455915,0.008178879,63305.43306,74012,5560628,33102.5,0.013310007
33,EE,2011,0.001040856,0.14339709,0.000951815,0.000639405,0.034777329,0.029306695,0.004006067,0.004207176,0.014189721,0.002272842,0.020154685,0.038537766,0.002294335,0.01533804,0.140618403,0.001636508,0.009128982,0.027092957,0.014040041,0.000707721,0.000852028,0.004664662,0.005182019,0.048597838,0.007556952,0.01525514,0.012685239,0.001720176,0.001294162,0.000603328,0.000577997,2.30277853257741e-06,0.088874202,0.307795519,0,0.001604259,0.019678911,0,0,0.061642167,0.131721548,0.643584152,0.140729165,0.001039798,18700.22222,9467,1329660,17618.4,0.007119865
34,ES,2011,0.000811718,0.04491778,0.004610016,0.000716271,0.003646685,0.061666366,0.015436586,0.003390822,0.013040583,0.001997071,0.006693803,0.00697391,0.002483253,0.005849225,0.30203319,0.004109677,0.011474798,0.067172637,0.014496662,0.000788181,0.002069385,0.015193393,0.002006235,0.018353853,0.001803089,0.01312346,0.020316924,0.002255748,0.003139621,0.000946764,0.004222816,9.66880908715662e-07,0.052985651,0.291272859,0.228136191,0.126680843,0.169471695,0.037051676,0.001422936,0.175752377,0.212258595,0.048071526,0.000841904,0.000312255,252998,651304,46667174,23758.3,0.013956363
35,FI,2011,0.013010892,0.115393764,0.006088155,0.000587506,0.02933609,0.04248054,0.04080316,0.00547563,0.003787422,0.005215734,0.001038342,0.010185262,0.002134812,0.021506079,0.032580317,0.000534232,0.027316911,0.028237005,0.008546594,0.000664429,0.005048319,0.00048295,0.007182758,0.016797194,0.006594505,0.033873702,0.014592926,0.00631905,0.000115385,0.000111527,0.000781433,2.12846440255311e-05,0.098794107,0.414361982,0.208988018,0.103615226,0.004335327,0,0.019207533,0.288765453,0.163633824,0.02424138,0.186609356,0.000603881,110948.9444,34904,5375276,30500.1,0.006493434
36,FR,2011,0.000386203,0.056343092,0.001222163,0.000695961,0.000874452,0.011260762,0.052654872,0.007893949,0.006928042,0.003809763,0.00585226,0.010045579,0.001369913,0.001103461,0.423628163,0.004521831,0.013532037,0.028820047,0.016954865,0.006132056,0.002053676,0.002742185,0.004210514,0.008620941,0.002017956,0.019629106,0.020189603,0.002362008,0.004709691,0.00049341,0.002189621,1.55105192081317e-05,0.104028388,0.172707918,0.750476897,0.085559245,0.020334661,0.002417853,0.006459694,0.036025548,0.072017977,0.016547364,0.009730006,0.000430754,589475.5249,1399898.956,64978721,27914.4,0.02154396
37,UK,2011,0.003961323,0.148952801,0.000590822,0.000111149,0.000412553,0.0006561,0.002546004,0.000434123,0.005782636,0.004928513,0.002483262,0.009404638,0.00222674,0.014485387,0.49137381,0.004618961,0.01987759,0.014121672,0.002136629,0.00085692,0.001092581,0.001617686,0.00654008,0.018177865,0.001097881,0.02072523,0.006146351,0.00067658,0.000276537,0.000118063,0.000450048,0,0.056535925,0.156583536,0.210778487,0.022914292,0.03947284,0,0,0.319828395,0.389524633,0.00328482,0.014196533,0,327263,1796441,63022532,27695.3,0.028504742
38,EL,2011,0.000527407,0.103644521,0.000594867,0.000481903,0.005146516,0.061446895,0.000836738,0.002146794,0.008809544,0.005082368,0.004283407,0.004342035,0.000474053,0.001280251,0.157555253,0.000436276,0.0009589,0.03722773,0.004816702,0.001326982,0.003923053,0.002512422,0.000719973,0.01831956,0.04854847,0.005945599,0.005114749,0.004903908,0.000966014,6.96668465167006e-05,0.003022781,1.64354884387991e-05,0.103139436,0.40137879,0,0.074335329,0.057642483,0.010606912,0,0.550824306,0.215389876,0.087775582,0,0.003425511,57509.66667,50376,11123392,19135.9,0.004528834
39,HR,2011,0.003061249,0.041562291,0.002320279,0.000286965,0.0104384,0.21850798,0.001527626,0.005052303,0.007367728,0.003009852,0.00618189,0.001439681,0.004230526,0.004338459,0.188495973,0.002422502,0.022560902,0.054231026,0.0183832,0.007976495,0.002271452,0.001780613,0.003233428,0.031895699,0.005928904,0.01776444,0.003242851,0.001298625,0.001166992,0.000711274,0.002267455,0,0.083343018,0.24169992,0,0.363024974,0.014146572,0,0,0.18024563,0.351795301,0.086728889,0.001661773,0.002396863,14208.38889,55065,4289857,15656.3,0.012836092
40,HU,2011,0.008540343,0.056705977,0.004144335,0.000860939,0.009191874,0.033260429,0.017868054,0.008335631,0.018910225,0.004655855,0.015345415,0.0175322,0.006212502,0.021670796,0.095972631,0.006157368,0.014814937,0.028714496,0.070009662,0.001551778,0.001947636,0.002439328,0.029451599,0.02061071,0.016863451,0.059711611,0.038563119,0.005314865,0.001686397,0.001037127,0.002559163,2.55672850065266e-05,0.117667255,0.261666726,0.328439466,0.004607169,0.012991385,2.88236270729953e-05,0.011069426,0.177004741,0.413825426,0.004331615,0.046326486,0.001375463,48185.77778,271804,9985722,17173.6,0.027219264
41,IE,2011,0.000219203,0.066534113,0.002827975,0.000226942,0.000450402,0.007907185,0.020701849,0.003398329,0.001355656,0.000744672,0.000314585,0.001583178,0.001459163,0.001879964,0.136280241,0.000370692,0.001531715,0.131220959,0.002774576,0.001913628,0.009795468,0.002625023,0.002659461,0.017342795,0.002146954,0.006472786,0.009651525,0.000330063,0.000361985,0.000199276,0.003731293,1.74124449065406e-05,0.144818337,0.416152596,0,0.028042782,0.173819589,0,0,0.240048899,0.538480592,0.007763264,0.004766878,0.007077996,25200.353,69906.529,4570881,33618.7,0.015293885
42,IT,2011,0.004269559,0.039821774,0.000939626,0.000516101,0.001555238,0.038935432,0.0021853,0.006564254,0.006000261,0.01299969,0.004771703,0.003423545,0.003806027,0.001941632,0.363516397,0.02106744,0.007206286,0.044912568,0.063933596,0.010475691,0.001202286,0.023309443,0.008900153,0.01490946,0.013049211,0.016815145,0.010138139,0.001450396,0.001046492,0.000385444,0.005650209,1.50549497645326e-05,0.059375599,0.204910848,0,0.151152973,0.031746103,0.03480298,0.03996756,0.16386644,0.471919723,0.059376373,0.024781853,0.022385996,310211.3054,1653067,59364690,26986.6,0.027845964
43,LT,2011,0.000248014,0.070866676,0.000945271,0.000949296,0.005672634,0.07406269,0.002352865,0.003027987,0.008349981,0.005297846,0.006065533,0.004238377,0.001173666,0.035107348,0.38193591,0.002602892,0.029492064,0.025261232,0.013963756,0.00047993,0.00040296,0.003232737,0.002624021,0.011696412,0.00521333,0.011250188,0.002061084,0.000864277,0.000179597,0.00019167,0.003225694,1.00614300612389e-05,0.073373985,0.213580013,0,0.076543001,0.034429854,0,0.001590619,0.003986615,0.704978436,0.021092816,0.156295428,0.001083232,13796.16667,28089,3052588,17058.8,0.0092017
44,LU,2011,0.007399458,0.092475522,0.000688024,0.000380561,0.00177997,0.001208752,0.002233628,0.00381239,0.077607275,0.00649817,0.007079938,0.018942885,0.001448392,0.002058796,0.30026172,0.033137426,0.036918166,0.08349278,0.005409239,0.001416741,0.001223823,0.002718937,0.007789062,0.017152365,0.005617982,0.019644473,0.019128267,0.001883964,0.00066617,0.000677474,0.000797294,0,0.082504075,0.155946281,0,0.267437558,0.015206215,0,0.02366163,0,0.686456087,0.00086005,0.006378459,0,4212.0935,27945.952,511840,70277,0.054599
